item_id,nli_raw_story,nli_raw_acting,nli_raw_visuals,nli_ctr_story,nli_ctr_acting,nli_ctr_visuals,n_reviews,n_story,n_acting,n_visuals
0784011370,0.6437,0.8285,0.7604,0.0563,0.188,0.0379,151,66,60,29
0784011648,0.8215,0.8624,0.7086,0.1605,0.0645,-0.0846,106,54,46,16
0784013470,0.7568,0.8069,0.7967,0.1957,0.1693,-0.0881,161,83,77,25
0788802194,0.7542,0.6077,0.7588,0.3812,-0.0831,0.1632,279,107,23,61
0788812467,0.688,0.4343,0.3827,0.446,-0.0322,0.101,81,30,12,10
0788814664,0.7359,0.7388,0.7639,0.1875,0.1325,0.0811,305,135,121,19
0788821075,0.7134,0.7648,0.5992,0.2891,0.1896,0.0197,292,112,80,20
0788832182,0.7751,0.5957,0.6783,0.3944,-0.0361,0.0265,137,80,31,31
0788832492,0.8307,0.8154,0.7644,0.1723,0.0822,0.0941,203,73,61,63
0788857746,0.3346,0.6062,0.5811,-0.0069,0.1796,-0.0201,216,127,113,31
078885996X,0.7989,0.9266,0.6218,0.2862,0.0305,-0.0422,150,84,49,21
078887148X,0.8379,0.8712,0.7899,0.3264,0.0959,0.0065,258,147,91,35
0790729342,0.8206,0.7655,0.8761,0.2427,0.0549,0.1706,179,60,55,47
079072961X,0.8839,0.9241,0.7351,0.0691,0.1847,-0.0135,229,95,105,47
0790729628,0.4272,0.4419,0.7271,0.0765,0.086,0.2761,367,130,73,115
0790729644,0.6337,0.7781,0.5153,0.0696,0.1915,-0.0089,347,135,135,48
0790729687,0.5565,0.7218,0.7939,0.0213,0.1523,0.1509,209,99,99,54
0790729709,0.6172,0.4635,0.3362,0.2784,0.0844,0.0149,180,67,53,21
0790729733,0.5919,0.7532,0.725,0.129,0.2097,0.0883,220,101,105,43
0790729989,0.4914,0.7494,0.621,0.0446,0.1915,0.1913,316,142,121,71
0790732181,0.6808,0.8695,0.472,0.0946,0.3029,-0.0084,260,113,116,25
0790732300,0.688,0.831,0.5859,0.2004,0.2414,0.1445,141,55,49,23
0790733226,0.6995,0.6925,0.7911,0.2398,0.0768,0.0758,257,127,103,55
0790733919,0.632,0.7205,0.5408,0.1112,0.1204,0.1517,163,68,59,26
079073463X,0.7641,0.8014,0.6174,0.1773,0.0307,0.0025,121,59,47,41
0790734966,0.5622,0.5365,0.43,0.1945,0.0648,-0.1091,82,40,31,7
0790736527,0.5641,0.6331,0.7732,0.0687,0.1801,0.2282,182,82,94,28
0790740443,0.5427,0.701,0.3034,0.068,0.217,0.0014,130,49,50,18
0790743213,0.7821,0.7729,0.7811,0.2106,0.1082,0.1174,303,151,125,88
0790743442,0.8512,0.8959,0.8102,0.0935,0.1053,-0.0216,91,42,44,26
079074676X,0.8023,0.8628,0.8826,0.1497,0.1252,-0.0129,116,63,63,30
0792102320,0.7624,0.8258,0.6229,0.253,0.2817,0.0035,245,84,77,22
0792110188,0.7913,0.785,0.5401,0.2262,0.1706,0.1396,184,63,58,14
0792143817,0.7549,0.7543,0.2345,0.2959,0.1663,-0.1421,147,73,55,11
0792145496,0.6943,0.842,0.6036,0.1402,0.2558,-0.0949,120,53,55,20
0792146433,0.6565,0.6182,0.9572,0.3571,0.039,0.0981,110,65,32,10
0792151712,0.4397,0.4326,0.791,0.0621,0.0134,0.3261,436,202,151,158
0792153189,0.5871,0.5014,0.7003,0.1766,0.0474,0.2294,237,99,86,45
0792157850,0.2325,0.2334,0.5028,0.102,0.057,0.1969,183,78,45,38
0792158202,0.7932,0.8467,0.7065,0.3365,0.0937,0.0973,286,116,66,52
0792165039,0.2913,0.6043,0.8106,-0.0831,0.1495,0.1498,207,120,119,61
0792833201,0.7507,0.8018,0.7522,0.2651,0.0889,0.1,233,100,58,64
0792834976,0.7387,0.8021,0.7475,0.0814,0.1693,0.1108,146,47,50,24
0792836685,0.6491,0.7806,0.8796,0.0811,0.0011,0.2367,121,56,37,37
0792838955,0.8514,0.9171,0.7675,0.4134,0.1825,0.0397,186,84,49,29
0792839072,0.5489,0.4564,0.6832,0.1661,0.1217,0.2897,150,51,33,44
0792839129,0.8486,0.8068,0.7775,0.5254,0.0101,0.2592,190,74,28,37
079284209X,0.6653,0.7813,0.7993,0.0625,0.15,0.0285,199,97,95,47
0792842111,0.7207,0.9109,0.536,0.0736,0.2392,-0.1043,384,186,191,68
0792844645,0.6501,0.8548,0.7195,-0.0378,0.1857,-0.0649,111,61,74,29
0792846133,0.8698,0.8453,0.3701,0.3836,0.1284,-0.0483,130,74,51,17
0793906091,0.514,0.2203,0.4117,0.2489,-0.0574,0.1447,422,148,53,125
0800141660,0.8208,0.8776,0.8302,0.1375,0.1438,0.0646,254,134,131,70
0800141709,0.6657,0.8061,0.5996,0.1758,0.231,0.0304,261,110,98,35
1424819210,0.8176,0.9359,0.8281,0.6567,-0.0064,-0.0516,102,46,7,2
1559408758,0.7323,0.7863,0.6655,0.2423,0.1384,0.1078,132,70,52,18
1562550888,0.7165,0.7477,0.8243,0.1911,0.0675,0.1817,346,128,94,93
1563452685,-0.2957,-0.0379,0.5274,-0.2201,-0.0131,0.3057,289,171,133,109
1572522232,0.0631,-0.0735,0.6557,-0.1185,-0.175,0.3931,131,80,67,92
5554452574,0.7447,0.9059,0.743,0.1083,0.2528,-0.0014,170,78,76,15
5554454828,0.4607,0.7471,0.5435,0.1232,0.1424,0.2371,95,37,27,27
6300147444,0.6719,0.8491,0.4617,0.0761,0.2599,-0.181,106,52,56,23
6300181847,0.4916,0.2563,0.7918,0.1707,-0.0098,0.3831,85,35,17,25
6300181987,0.7012,0.7695,0.6788,0.2342,0.3008,0.1384,127,42,37,20
6300182304,0.8159,0.8981,0.6108,0.1583,0.1936,0.1352,118,45,42,12
6300183513,0.7209,0.8244,0.793,0.1474,0.1674,0.1006,256,118,104,60
6300184269,0.588,0.5226,0.2628,0.4039,0.1812,0.1727,146,37,20,12
6300185788,0.1397,0.3464,0.7313,-0.0013,-0.0023,0.1379,122,57,28,20
6300213501,0.4555,0.6066,0.6003,0.0909,0.1074,0.115,255,114,82,56
6300213714,0.5205,0.5948,0.6524,0.1463,0.0217,0.1485,150,63,39,37
6300213781,0.2387,0.5177,0.3119,-0.0106,0.2259,0.0138,157,57,62,24
6300213803,0.8301,0.8603,0.8115,0.2397,0.0793,0.0524,274,147,109,69
6300213900,0.8099,0.9313,0.3184,0.3038,0.1495,-0.1151,115,54,37,9
6300213986,0.8028,0.9207,0.6015,0.4344,0.2043,0.1836,254,95,46,19
6300214087,0.2095,0.1541,0.4026,0.0857,-0.0421,0.1399,354,183,113,95
6300214184,0.4549,0.3804,0.6757,0.1728,0.0019,0.2206,135,49,34,27
6300214192,0.4722,0.1308,0.2916,0.3219,-0.0641,0.0607,146,73,38,32
6300214222,0.8634,0.9293,0.6026,0.2857,0.1553,-0.2247,107,44,32,7
6300214311,0.3035,0.0601,0.3463,0.09,-0.1068,0.0875,144,83,60,59
6300214338,0.7465,0.8536,0.6684,0.2293,0.1326,0.2883,187,68,50,24
6300214346,0.048,0.2359,0.4288,-0.0093,-0.0169,0.1817,78,36,26,30
6300214508,0.7973,0.6802,0.6706,0.3353,0.0496,0.0072,117,67,43,31
6300214567,0.7668,0.7872,0.779,0.2179,0.2083,-0.0038,142,58,62,20
6300214664,0.791,0.8571,0.5019,0.2215,0.1746,-0.11,138,56,48,30
6300214710,0.3924,0.4679,0.4813,0.2143,0.0735,-0.0166,110,48,21,13
6300215520,0.5289,0.5373,0.525,0.2056,-0.0274,0.1254,106,53,30,41
6300215555,0.8209,0.6832,0.4128,0.2577,0.0638,0.2348,82,30,29,7
6300215628,0.7332,0.5998,0.2922,0.3726,0.1032,-0.1411,83,28,22,11
6300215695,0.8428,0.8342,0.7796,0.325,0.1184,0.2316,269,104,67,60
6300215954,0.8331,0.8985,0.9006,0.2721,0.1811,0.2187,133,41,32,18
6300216047,0.219,0.3211,0.4345,-0.026,0.0859,0.2922,94,35,26,34
6300216543,0.5822,0.7485,0.6764,0.1674,0.3228,-0.0957,120,49,51,11
6300216721,0.582,0.7274,0.7261,-0.0011,0.2272,0.0843,128,53,59,29
6300216748,0.6878,0.802,0.629,0.1931,0.1479,-0.1908,152,59,50,17
6300246817,0.7839,0.8725,0.8756,0.2187,0.2304,0.24,363,137,127,64
6300246876,0.7753,0.7237,0.8011,0.1984,0.0532,0.2065,211,90,77,58
6300247031,0.6546,0.6368,0.8457,0.1575,0.06,0.1517,123,46,54,38
6300247090,0.8248,0.9212,0.6443,0.1392,0.2458,-0.0852,105,42,43,19
6300247236,0.8281,0.8653,0.3134,0.4065,0.2396,-0.2445,131,51,35,8
6300247821,0.8618,0.8116,0.8057,0.3012,0.1406,0.1339,143,53,43,15
6300248089,0.5739,0.4243,0.7834,0.1442,-0.0615,0.1425,148,68,56,23
6300248291,-0.368,-0.4242,-0.3221,-0.0284,-0.0008,0.0853,240,162,134,49
6300267830,0.2478,0.2857,-0.1908,0.2116,0.2181,0.0766,133,38,22,11
6300267962,0.6966,0.9153,0.816,0.0451,0.214,-0.0871,105,46,44,9
6300268748,0.41,0.5631,0.5174,0.1169,0.2663,0.1694,204,74,67,39
6300269477,0.7897,0.8967,0.6378,0.1663,0.1126,0.0778,141,61,53,53
6300270270,0.564,0.6343,0.355,0.0601,0.1288,0.0016,112,57,58,20
6300274195,0.7934,0.5716,0.7393,0.4424,-0.1067,0.1609,203,82,13,43
6300274268,0.6293,0.4391,0.7672,0.3084,-0.1279,0.2774,241,81,23,53
6300275310,0.7274,0.6268,0.6157,0.369,-0.018,0.0383,162,61,19,41
6300988600,0.7283,0.6152,0.7042,0.2626,0.1576,0.2546,139,48,10,51
6300989003,0.799,0.8812,0.7976,0.2427,0.1082,0.0682,215,95,65,12
6301008944,0.9272,0.8942,0.7734,0.2396,0.0208,0.15,130,47,37,6
6301106482,0.5267,0.645,0.1202,0.1671,0.191,-0.0449,139,54,53,27
630130053X,0.61,0.6431,0.5818,0.1965,0.1931,0.2856,148,73,54,28
6301390725,0.8176,0.8448,0.9167,0.402,0.002,0.0847,134,50,18,26
6301398912,0.7819,0.6968,0.1024,0.4321,0.1688,-0.0974,126,55,38,8
630150528X,0.8006,0.8246,0.8112,0.1769,0.1408,0.1972,194,88,84,50
6301586026,0.6611,0.6327,0.4464,0.34,0.0891,0.1815,152,69,38,21
6301590740,0.7866,0.8826,0.5196,0.17,0.2107,-0.1925,147,70,67,15
6301662954,0.8607,0.9045,0.6914,0.3585,0.1252,0.19,148,64,47,26
6301666569,0.5441,0.7298,0.648,0.2595,0.0176,0.1675,146,63,24,11
630176031X,0.8021,0.7457,0.7575,0.2244,0.1007,0.0965,137,57,44,39
6301767918,0.7717,0.7901,0.6582,0.0718,0.1092,0.0499,146,70,73,47
6301773551,0.4195,0.3082,0.2585,0.2236,-0.0806,0.0283,291,122,47,81
6301773578,0.4333,0.4293,0.4548,0.1443,-0.0396,0.0719,205,90,45,53
6301777387,0.3306,0.4599,0.3685,0.1203,0.1808,0.1548,149,56,38,13
630179513X,0.6978,0.7507,0.8365,0.3394,0.056,0.1221,123,43,20,6
6301797965,0.8691,0.9346,0.7738,0.1417,0.086,-0.0216,122,79,66,29
6301932420,0.594,0.624,0.625,0.2383,0.0027,0.064,130,63,41,32
6301963660,0.4977,0.5543,0.3683,0.1845,0.1234,0.0618,208,85,51,55
6301963717,0.5764,0.7949,0.816,-0.0596,0.1517,0.0259,118,57,66,38
6301963725,0.4102,0.5003,0.4014,0.055,0.1043,0.0875,160,62,54,34
6301966554,0.8175,0.8927,0.6832,0.5553,0.0407,0.1337,396,147,39,25
6301967275,0.6737,0.4988,0.447,0.4367,0.0884,0.123,111,51,24,12
6301971175,0.5634,0.3442,0.3565,0.2665,-0.0234,-0.0576,88,42,25,27
6301971345,0.5829,0.6844,0.4368,0.0641,0.0883,-0.1129,172,92,84,19
6301971809,0.7735,0.8292,0.5893,0.1425,0.28,-0.0427,130,51,59,19
6301972279,0.7485,0.7032,0.7192,0.2319,0.0656,0.1275,69,30,23,9
630200098X,0.1134,0.2361,0.41,0.0123,0.1056,0.1534,96,45,46,36
6302010306,0.7101,0.6796,0.5847,0.2122,0.0776,0.0383,174,75,55,38
630202028X,0.3869,0.2376,0.6513,0.0835,-0.0124,0.1991,164,74,68,46
6302078164,0.0453,-0.0688,-0.0576,0.0767,0.0167,0.048,223,131,77,20
6302091632,0.7728,0.7019,0.5447,0.4274,0.0556,0.1018,307,115,56,19
630211702X,0.7992,0.8074,0.478,0.306,0.1663,0.0224,183,65,50,6
6302168465,0.6979,0.784,0.6282,0.2002,0.0982,0.0311,295,124,77,76
6302206294,0.596,0.552,0.6305,0.2445,0.0994,0.1801,228,92,79,45
6302238331,0.4243,0.6838,0.6114,0.0211,0.1004,-0.0018,133,58,52,37
6302256615,0.6676,0.6206,0.8016,0.1524,0.0806,0.1188,153,55,53,32
6302259096,0.9114,0.8572,0.5349,0.4053,0.2753,0.0137,135,62,51,5
6302269431,0.7889,0.8216,0.7881,0.2446,0.0954,0.1698,122,59,43,38
6302309506,0.775,0.6895,0.8206,0.0957,0.0026,0.2521,91,39,24,45
6302320488,0.792,0.8753,0.8796,0.1855,0.1422,0.1364,205,63,47,39
6302380294,0.7256,0.7378,0.6478,0.1286,0.1266,-0.0171,135,52,54,29
6302413435,0.8905,0.9456,0.8127,0.1534,0.1862,0.0167,108,66,68,18
630242335X,0.8121,0.8261,0.679,0.225,0.0639,-0.0671,123,63,47,23
630243078X,0.6742,0.4845,0.3423,0.3251,0.0478,0.0226,96,52,45,15
6302482712,0.7909,0.8448,0.8877,0.3459,0.1375,-0.0192,113,40,24,12
6302484367,0.1648,0.1476,0.2256,0.0461,-0.0047,0.1202,202,79,64,67
630251004X,0.7131,0.6903,0.7301,0.1405,0.1076,0.0679,150,60,68,45
630251018X,0.3534,0.4665,0.4666,0.05,0.1079,0.1391,129,45,41,26
6302541743,0.8019,0.8953,0.915,0.2387,0.1856,0.0045,104,62,48,10
6302548748,0.737,0.6925,0.5591,0.212,0.0569,0.0281,226,122,102,70
6302637899,0.545,0.6255,0.6799,0.231,0.1036,0.2141,175,69,44,31
630266232X,0.8076,0.8395,0.7375,0.1526,0.1429,0.0118,151,80,75,43
6302662591,0.7185,0.793,0.8636,0.2329,0.0319,0.1053,149,75,49,24
6302712017,0.6582,0.7599,0.6376,0.0728,0.1509,0.0082,276,149,147,58
6302728657,0.7356,0.8303,0.8213,0.1792,0.0979,0.0679,104,68,40,39
6302768810,0.6563,0.7933,0.3905,0.2731,0.2766,-0.1762,302,87,63,15
6302787068,0.7246,0.8824,0.8959,0.2374,0.0604,0.1487,305,97,51,45
6302797535,0.6831,0.767,0.6278,0.1847,0.272,-0.0367,100,41,45,7
6302800420,0.8098,0.8744,0.4862,0.1216,0.2016,0.0407,155,70,70,11
6302946387,0.5421,0.6827,0.7105,0.1423,0.1172,-0.0063,155,57,40,9
6302969972,0.8763,0.8375,0.9354,0.415,0.0908,0.1966,98,28,16,5
6303012140,0.6489,0.5514,0.846,0.2685,0.1291,0.3082,162,60,48,20
6303027016,0.7274,0.7395,0.378,0.3376,0.2019,0.2054,202,66,48,10
6303042503,0.598,0.6543,0.7051,0.2846,0.1513,0.3405,357,77,39,29
6303046436,0.7329,0.7575,0.547,0.1981,0.0409,0.117,93,32,19,22
6303047564,0.6508,0.5772,0.5259,0.2989,0.0811,0.0963,95,50,20,36
6303049079,0.6697,0.6935,0.6191,0.231,0.1714,0.2383,315,106,89,19
630305725X,0.6463,0.6837,0.5029,0.1557,0.1054,0.0616,223,93,87,55
6303066720,0.6431,0.6643,0.5689,0.2249,0.1175,0.0061,101,40,32,13
6303111920,0.6443,0.5642,0.7677,0.1658,0.016,0.1859,239,88,72,47
6303118240,0.9115,0.8135,0.8456,0.3704,-0.0665,0.0406,129,82,35,50
6303122647,0.748,0.6231,0.8078,0.3054,-0.0777,0.1931,294,119,36,87
6303122876,0.6993,0.3437,0.7512,0.1881,-0.1261,0.2062,136,63,30,51
6303124798,0.8704,0.9509,0.8771,0.1063,0.3095,0.0225,122,55,67,12
6303142346,0.8558,0.8298,0.8576,0.3402,-0.0326,0.1995,312,138,52,101
6303149200,0.3532,0.4763,0.5662,0.0661,0.1451,0.0434,131,70,44,31
6303153461,0.7037,0.614,0.3389,0.3665,0.0732,-0.0382,112,59,38,19
6303162290,0.5515,0.6827,0.1016,0.1574,0.1223,-0.0207,122,44,28,7
6303167314,0.6491,0.5727,0.4784,0.5025,-0.1602,0.1502,128,53,6,12
6303170498,-0.2276,-0.4454,-0.1614,-0.0127,-0.1501,0.1233,109,58,56,41
6303192254,0.8219,0.835,0.5844,0.3621,0.2161,-0.0284,137,37,32,24
6303194508,0.5867,0.7156,0.6854,0.104,0.1603,0.0124,242,112,97,42
6303212263,0.7378,0.8062,0.6982,0.0697,0.1076,0.0041,240,132,126,93
6303212379,0.7741,0.605,0.5607,0.5045,0.0341,0.1404,333,137,54,34
6303212395,0.814,0.6443,0.7178,0.5112,0.0396,0.0641,241,111,32,40
630321245X,0.5264,0.7916,0.7435,-0.0021,0.2408,0.2881,116,44,44,27
6303257844,0.6307,0.7479,0.8044,0.044,0.1429,0.1711,215,86,93,50
6303269826,0.4177,0.5527,0.5054,0.1111,0.18,0.1172,176,65,58,28
6303305520,0.4959,-0.012,0.865,0.0042,-0.3415,0.4246,129,62,22,69
6303313345,0.7002,0.8104,0.7698,0.0797,0.1887,0.0075,151,80,84,32
6303364438,-0.1137,0.0243,-0.0912,-0.0168,0.1329,-0.0046,160,81,56,42
6303365752,0.5293,0.7409,0.6708,0.0252,0.2595,-0.0365,268,134,142,50
630339406X,0.7452,0.8263,0.8813,0.3074,0.1983,0.396,168,68,44,11
6303398480,0.5857,0.5579,0.5263,0.2424,0.0995,0.0135,211,85,50,52
6303407188,0.7732,0.8526,0.8278,0.0272,0.1073,-0.0699,123,77,80,26
6303430570,0.6252,0.4313,0.0531,0.3326,0.0024,-0.2015,150,78,53,23
6303442447,0.8574,0.8088,0.4986,0.4814,0.0263,0.1352,204,77,37,12
6303450083,0.8484,0.7872,0.8774,0.4179,0.0394,0.1143,121,48,24,14
6303454038,-0.0523,-0.2802,0.4353,0.0127,-0.1391,0.2755,450,271,191,160
6303464831,0.7527,0.7463,0.9095,0.3003,0.1608,-0.024,94,44,34,2
6303471501,0.5412,0.5357,0.7103,0.1528,0.0705,0.2967,223,54,47,44
630347151X,0.6072,0.7761,0.9152,0.0989,0.2348,0.0961,148,58,65,28
630347327X,0.7357,0.8212,0.7971,0.0865,0.16,0.1191,149,70,71,76
6303482295,0.4078,0.4974,0.6974,0.1463,0.1728,0.1952,412,146,124,63
6303507689,0.7075,0.8396,0.8424,0.1766,0.312,0.0961,160,62,64,11
6303521517,0.7139,0.8372,0.8182,0.3656,-0.0704,0.1536,89,37,8,18
6303542352,0.7076,0.8397,0.2209,0.1365,0.1471,0.1193,78,42,35,6
630356027X,0.5337,0.5439,0.4262,0.3016,0.2064,-0.0119,345,109,63,28
6303574289,0.5139,0.2438,0.4921,0.3024,-0.0087,0.1368,224,85,36,39
6303579396,-0.1537,-0.1778,0.3237,-0.115,-0.0473,0.1345,124,74,44,25
6303599109,0.6701,0.761,0.8726,0.1423,0.0689,0.251,197,83,68,80
6303625800,0.7816,0.8667,0.7301,0.1595,0.0879,0.1727,90,33,15,32
6303637574,0.854,0.8556,0.6619,0.3046,0.1331,-0.0746,199,98,76,10
6303651453,0.7561,0.8895,0.6961,0.1431,0.2374,0.16,184,71,67,57
630365147X,0.7011,0.6949,0.605,0.2628,0.1322,0.1486,210,75,61,47
6303651488,0.6194,0.681,0.7506,0.0928,0.0919,0.1561,145,59,50,53
6303686850,0.6095,0.3476,0.7537,0.0819,-0.0943,0.2677,107,47,35,49
6303696813,0.7869,0.8442,0.6936,0.1431,0.1228,0.0255,142,69,63,17
6303824358,0.7831,0.7699,0.7681,0.1789,0.1288,0.1011,156,67,69,39
6303853102,0.7149,0.7083,0.4507,0.319,0.1285,-0.0756,100,57,39,11
6303908306,0.7166,0.7728,0.5675,0.1655,0.1406,-0.0155,306,175,154,39
6303909949,0.1915,0.2284,0.5019,0.0715,0.0055,0.1302,137,80,54,30
6303921248,0.8297,0.7795,0.6333,0.1925,0.0874,-0.0384,203,119,106,91
6303949436,0.7091,0.621,0.8269,0.2494,-0.0669,0.1767,120,61,40,30
6303954103,0.4423,0.5691,0.2738,0.043,0.1355,-0.0731,173,87,87,54
6303965415,0.7376,0.7224,0.6781,0.1899,0.0645,0.0339,169,96,80,41
6303972969,0.5805,0.6074,0.831,0.29,0.0573,0.0747,173,83,44,31
6303984088,0.7323,0.8375,0.789,0.3312,0.0085,0.209,165,59,23,35
630402925X,0.9242,0.9321,0.8588,0.2532,0.0681,0.1317,90,32,25,23
6304030959,0.7283,0.8087,0.6556,0.3182,0.1356,0.142,217,74,49,40
6304037279,-0.0539,0.3211,0.4939,-0.0211,0.1967,0.0834,138,49,54,28
6304039255,0.844,0.8828,0.7209,0.4293,0.2064,-0.1484,116,49,30,8
6304039530,0.6478,0.6864,0.5403,0.1403,0.0631,0.1929,136,53,36,48
6304044836,0.6374,0.7166,0.919,0.1192,0.1553,0.1428,123,46,44,11
6304056958,0.7035,0.8554,0.7281,0.0825,0.2014,0.0767,93,35,39,14
6304100507,0.7915,0.5069,0.8363,0.5081,0.024,0.17,106,39,13,15
6304107250,0.5984,0.6466,0.8414,0.2484,0.1715,0.231,130,60,48,17
6304107641,0.8294,0.8214,0.4473,0.3395,0.1944,-0.1229,136,50,39,8
6304111231,0.7459,0.5407,0.4994,0.3468,0.0871,0.1341,137,49,41,49
6304111258,0.8623,0.897,0.9088,0.1105,0.1707,0.1163,178,82,85,74
6304113404,-0.0105,-0.16,-0.0141,0.0095,0.0244,0.0995,100,48,31,26
6304119046,0.4096,0.5361,0.7375,0.0632,0.0625,0.1771,267,129,94,91
6304153791,0.8021,0.7752,0.9075,0.5437,0.1509,0.2638,98,41,13,8
6304176287,0.722,0.77,0.7365,0.2523,0.1591,0.1391,360,133,79,73
630417893X,0.8154,0.8794,0.8122,0.1628,0.1735,0.2608,200,71,66,75
6304196784,0.5586,0.6499,0.4827,0.1381,0.1386,0.0824,123,62,51,8
6304198493,0.7166,0.7742,0.5675,0.16,0.1399,-0.0155,303,175,155,39
630420065X,0.6617,0.6871,0.725,0.1671,0.1252,0.1536,180,77,71,46
6304233639,0.5124,0.5109,0.7362,0.0685,0.0222,0.2246,418,164,139,133
6304233965,-0.142,-0.0069,0.3008,-0.0682,0.048,0.1887,201,115,111,74
6304239149,0.5146,0.6323,0.1342,0.1582,0.178,-0.0085,128,52,51,25
6304240554,0.5815,0.405,0.611,0.2835,-0.0049,0.156,180,85,49,51
6304258984,0.6485,0.6909,0.7522,0.111,0.1656,0.1079,194,72,81,43
630426786X,0.1337,0.3914,0.3978,-0.0646,0.1942,0.032,123,56,54,26
6304285396,0.9052,0.7963,0.6137,0.6257,0.0702,0.0508,119,52,13,13
630428540X,0.8852,0.9566,0.9154,0.3578,0.1191,0.1092,117,60,41,7
6304288433,0.4625,0.2813,0.4634,0.1814,-0.0395,0.0853,103,46,26,27
630428845X,0.0524,-0.0631,0.3291,0.0426,-0.0186,0.2044,171,106,43,33
6304316267,0.519,0.4834,0.5323,0.3376,0.1646,0.1511,91,29,19,9
6304328583,0.5714,0.5977,0.6661,0.1396,0.0692,0.1322,281,143,117,74
630434063X,0.7419,0.7718,0.4906,0.1721,0.1532,-0.0538,129,56,53,42
6304353634,0.7254,0.7329,0.7791,0.2041,0.0266,0.0612,185,98,79,48
6304359721,0.7189,0.8349,0.7559,0.0851,0.2198,0.0288,132,53,61,23
6304362498,-0.1727,0.2693,0.2188,-0.141,0.1155,0.0012,97,38,30,28
6304383827,0.524,0.6407,0.7074,0.1714,0.1493,0.0598,148,89,67,29
630438551X,0.3934,0.4087,0.4271,0.1109,0.0313,0.0449,115,79,66,39
6304401132,0.6675,0.3011,0.8498,0.2119,-0.0923,0.2935,322,115,26,97
6304406096,0.0818,0.2614,0.1477,-0.0091,0.1416,0.072,154,62,57,33
6304411448,0.6933,0.8648,0.6928,0.1768,0.1954,-0.0204,116,61,48,11
6304415346,0.6483,0.6248,0.7475,0.1568,0.0349,0.0649,186,101,76,42
6304416415,0.8218,0.6554,0.5029,0.5543,0.0034,0.0629,113,36,13,14
630442972X,0.7328,0.7156,0.667,0.1787,0.173,0.0906,289,100,107,36
6304457278,0.6192,0.6627,0.6869,0.2078,0.1808,0.0343,136,45,39,15
6304457316,0.7511,0.8197,0.7068,0.1484,0.2049,0.0455,117,49,51,29
6304457359,0.7175,0.881,0.8793,0.0611,0.1477,0.0741,102,54,51,24
6304458975,0.6338,0.7284,0.6211,0.0912,0.1646,0.1385,118,53,51,13
